logs/depth.did.Rap1.3M.log.err-1:real	0m34.449s
logs/depth.did.Rap1.3M.log.err-10:real	0m30.603s
logs/depth.did.Rap1.3M.log.err-100:real	0m29.834s
logs/depth.did.Rap1.3M.log.err-1000:real	0m31.859s
logs/depth.did.Rap1.3M.log.err-101:real	0m29.796s
logs/depth.did.Rap1.3M.log.err-102:real	0m30.780s
logs/depth.did.Rap1.3M.log.err-103:real	0m29.669s
logs/depth.did.Rap1.3M.log.err-104:real	0m30.363s
logs/depth.did.Rap1.3M.log.err-105:real	0m34.362s
logs/depth.did.Rap1.3M.log.err-106:real	0m32.262s
logs/depth.did.Rap1.3M.log.err-107:real	0m30.790s
logs/depth.did.Rap1.3M.log.err-108:real	0m34.472s
logs/depth.did.Rap1.3M.log.err-109:real	0m34.353s
logs/depth.did.Rap1.3M.log.err-11:real	0m34.463s
logs/depth.did.Rap1.3M.log.err-110:real	0m34.138s
logs/depth.did.Rap1.3M.log.err-111:real	0m30.181s
logs/depth.did.Rap1.3M.log.err-112:real	0m36.232s
logs/depth.did.Rap1.3M.log.err-113:real	0m30.301s
logs/depth.did.Rap1.3M.log.err-114:real	0m30.703s
logs/depth.did.Rap1.3M.log.err-115:real	0m34.405s
logs/depth.did.Rap1.3M.log.err-116:real	0m34.841s
logs/depth.did.Rap1.3M.log.err-117:real	0m30.540s
logs/depth.did.Rap1.3M.log.err-118:real	0m30.687s
logs/depth.did.Rap1.3M.log.err-119:real	0m34.289s
logs/depth.did.Rap1.3M.log.err-12:real	0m36.217s
logs/depth.did.Rap1.3M.log.err-120:real	1m24.034s
logs/depth.did.Rap1.3M.log.err-121:real	0m35.092s
logs/depth.did.Rap1.3M.log.err-122:real	0m30.450s
logs/depth.did.Rap1.3M.log.err-123:real	0m30.176s
logs/depth.did.Rap1.3M.log.err-124:real	0m30.295s
logs/depth.did.Rap1.3M.log.err-125:real	0m29.718s
logs/depth.did.Rap1.3M.log.err-126:real	0m30.428s
logs/depth.did.Rap1.3M.log.err-127:real	0m30.017s
logs/depth.did.Rap1.3M.log.err-128:real	0m29.595s
logs/depth.did.Rap1.3M.log.err-129:real	0m34.305s
logs/depth.did.Rap1.3M.log.err-13:real	0m31.097s
logs/depth.did.Rap1.3M.log.err-130:real	0m31.801s
logs/depth.did.Rap1.3M.log.err-131:real	0m31.204s
logs/depth.did.Rap1.3M.log.err-132:real	0m34.725s
logs/depth.did.Rap1.3M.log.err-133:real	0m34.354s
logs/depth.did.Rap1.3M.log.err-134:real	0m34.746s
logs/depth.did.Rap1.3M.log.err-135:real	0m30.212s
logs/depth.did.Rap1.3M.log.err-136:real	0m35.258s
logs/depth.did.Rap1.3M.log.err-137:real	0m30.488s
logs/depth.did.Rap1.3M.log.err-138:real	0m30.997s
logs/depth.did.Rap1.3M.log.err-139:real	0m36.687s
logs/depth.did.Rap1.3M.log.err-14:real	0m30.586s
logs/depth.did.Rap1.3M.log.err-140:real	0m34.740s
logs/depth.did.Rap1.3M.log.err-141:real	0m30.691s
logs/depth.did.Rap1.3M.log.err-142:real	0m30.464s
logs/depth.did.Rap1.3M.log.err-143:real	0m34.472s
logs/depth.did.Rap1.3M.log.err-144:real	0m34.438s
logs/depth.did.Rap1.3M.log.err-145:real	0m30.593s
logs/depth.did.Rap1.3M.log.err-146:real	0m30.678s
logs/depth.did.Rap1.3M.log.err-147:real	0m31.135s
logs/depth.did.Rap1.3M.log.err-148:real	0m30.452s
logs/depth.did.Rap1.3M.log.err-149:real	0m31.376s
logs/depth.did.Rap1.3M.log.err-15:real	0m36.044s
logs/depth.did.Rap1.3M.log.err-150:real	0m31.570s
logs/depth.did.Rap1.3M.log.err-151:real	0m32.211s
logs/depth.did.Rap1.3M.log.err-152:real	0m34.744s
logs/depth.did.Rap1.3M.log.err-153:real	0m31.785s
logs/depth.did.Rap1.3M.log.err-154:real	0m31.049s
logs/depth.did.Rap1.3M.log.err-155:real	0m34.926s
logs/depth.did.Rap1.3M.log.err-156:real	0m34.764s
logs/depth.did.Rap1.3M.log.err-157:real	0m34.414s
logs/depth.did.Rap1.3M.log.err-158:real	0m30.042s
logs/depth.did.Rap1.3M.log.err-159:real	0m34.146s
logs/depth.did.Rap1.3M.log.err-16:real	1m25.885s
logs/depth.did.Rap1.3M.log.err-160:real	0m30.463s
