##Supplementary Table 1. Accession numbers of YKOC colonies sequenced.		
##LEGEND		
##Deletion_Strain	Unique ID identifying the KO strain from which colonies were derived	
##SD_code	Unique ID identifying a single colony	
##ERS accession number	Accession code to download data from the European Nucleotide Archive	
#Deletion_Strain	SD_code	ERS accession number
Del1_TDA8	SD0863b	ERS838232
Del1_TDA8	SD0863b2	ERS838233
Del2_SCS22	SD0864b	ERS838234
Del2_SCS22	SD0864b2	ERS838235
Del3_SDH8	SD0865b	ERS838236
Del3_SDH8	SD0865b2	ERS838237
Del4_EFM2	SD0866b	ERS838238
Del4_EFM2	SD0866b2	ERS838239
Del5_UBX7	SD0867b	ERS838240
Del5_UBX7	SD0867b2	ERS838241
Del6_CHK1	SD0868b	ERS838242
Del6_CHK1	SD0868b2	ERS838243
Del7_YBR277C	SD0869b	ERS838244
Del7_YBR277C	SD0869b2	ERS838245
Del8_DPB3	SD0870b	ERS838246
Del8_DPB3	SD0870b2	ERS838247
Del9_PAF1	SD0871b	ERS838248
Del9_PAF1	SD0871b2	ERS838249
Del10_DUG2	SD0872b	ERS838250
Del10_DUG2	SD0872b2	ERS838251
Del11_MRPL27	SD0873b	ERS838252
Del11_MRPL27	SD0873b2	ERS838253
Del12_SSH1	SD0874b	ERS838254
Del12_SSH1	SD0874b2	ERS838255
Del13_YBR284W	SD0875b	ERS838256
Del13_YBR284W	SD0875b2	ERS838257
Del15_APE3	SD0876b	ERS838258
Del15_APE3	SD0876b2	ERS838259
Del15_APE3	SD0877b	ERS838260
Del15_APE3	SD0877b2	ERS838261
Del16_BSD2	SD0878b	ERS838262
Del16_BSD2	SD0878b2	ERS838263
Del18_YBR292C	SD0879b	ERS838264
Del18_YBR292C	SD0879b2	ERS838265
Del18_YBR292C	SD0880b	ERS838266
Del18_YBR292C	SD0880b2	ERS838267
Del19_VBA2	SD0881b	ERS838268
Del19_VBA2	SD0881b2	ERS838269
Del20_PCA1	SD0882b	ERS838270
Del20_PCA1	SD0882b2	ERS838271
Del21_PHO89	SD0883b	ERS838272
Del21_PHO89	SD0883b2	ERS838273
Del22_MAL33	SD0884b	ERS838274
Del22_MAL33	SD0884b2	ERS838275
Del23_MAL31	SD0885b	ERS838276
Del23_MAL31	SD0885b2	ERS838277
Del24_YBR300C	SD0886b	ERS838278
Del24_YBR300C	SD0886b2	ERS838279
Del25_YCL001W-A	SD0887b	ERS838280
Del25_YCL001W-A	SD0887b2	ERS838281
Del26_HTL1	SD0888b	ERS838282
Del26_HTL1	SD0888b2	ERS838283
Del27_SLM5	SD0889b	ERS838284
Del27_SLM5	SD0889b2	ERS838285
Del28_PMP1	SD0890b	ERS838286
Del28_PMP1	SD0890b2	ERS838287
Del29_YCR025C	SD0891b	ERS838288
Del29_YCR025C	SD0891b2	ERS838289
Del30_NPP1	SD0892b	ERS838290
Del30_NPP1	SD0892b2	ERS838291
Del31_RHB1	SD0893b	ERS838292
Del31_RHB1	SD0893b2	ERS838293
Del32_FEN2	SD0894b	ERS838294
Del32_FEN2	SD0894b2	ERS838295
Del33_RPS14A	SD0895b	ERS838296
Del33_RPS14A	SD0895b2	ERS838297
Del34_ELO2	SD0896b	ERS838298
Del34_ELO2	SD0896b2	ERS838299
Del35_RBK1	SD0897b	ERS838300
Del35_RBK1	SD0897b2	ERS838301
Del36_PHO87	SD0898b	ERS838302
Del36_PHO87	SD0898b2	ERS838303
Del37_YCR043C	SD0899b	ERS838304
Del37_YCR043C	SD0899b2	ERS838305
Del38_PER1	SD0900b	ERS838306
Del38_PER1	SD0900b2	ERS838307
Del39_RRT12	SD0901b	ERS838308
Del39_RRT12	SD0901b2	ERS838309
Del40_YCR049C	SD0902b	ERS838310
Del40_YCR049C	SD0902b2	ERS838311
Del41_YCR050C	SD0903b	ERS838312
Del41_YCR050C	SD0903b2	ERS838313
Del42_YCR051W	SD0904b	ERS838314
Del42_YCR051W	SD0904b2	ERS838315
Del43_YIH1	SD0905b	ERS838316
Del43_YIH1	SD0905b2	ERS838317
Del44_YCR061W	SD0906b	ERS838318
Del44_YCR061W	SD0906b2	ERS838319
Del45_BUD31	SD0907b	ERS838326
Del45_BUD31	SD0907b2	ERS838327
Del46_HCM1	SD0908b	ERS838320
Del46_HCM1	SD0908b2	ERS838321
Del47_RAD18	SD0909b	ERS838322
Del47_RAD18	SD0909b2	ERS838323
Del48_ATG15	SD0910b	ERS838324
Del48_ATG15	SD0910b2	ERS838325
Del49_IMG2	SD0911b	ERS952938
Del49_IMG2	SD0911b2	ERS952939
Del50_SOL2	SD0912b	ERS838330
Del51_FUB1	SD0913b	ERS838332
Del51_FUB1	SD0913b2	ERS838333
Del52_PAT1	SD0914b	ERS838334
Del52_PAT1	SD0914b2	ERS838335
Del53_PTC6	SD0915b2	ERS838337
Del54_SRB8	SD0916b	ERS838338
Del54_SRB8	SD0916b2	ERS838339
Del55_AHC2	SD0917b	ERS838340
Del55_AHC2	SD0917b2	ERS838341
Del56_YCR085W	SD0918b	ERS838342
Del57_CSM1	SD0919b	ERS838344
Del57_CSM1	SD0919b2	ERS838345
Del58_YCR087C-A	SD0920b	ERS838346
Del58_YCR087C-A	SD0920b2	ERS838347
Del59_YCR087W	SD0921b	ERS838348
Del59_YCR087W	SD0921b2	ERS838349
Del60_YCR090C	SD0922b	ERS838350
Del60_YCR090C	SD0922b2	ERS838351
Del61_KIN82	SD0923b	ERS838352
Del61_KIN82	SD0923b2	ERS838353
Del62_MSH3	SD0924b	ERS838354
Del62_MSH3	SD0924b2	ERS838355
Del63_CDC50	SD0925b	ERS838356
Del63_CDC50	SD0925b2	ERS838357
