secondary_study_accession	sample_accession	secondary_sample_accession	run_accession	submission_accession	fastq_md5	fastq_ftp	submitted_ftp
ERP109205	SAMEA3531083	ERS838232	ERR1334744	ERA587837	88995985b66397b5fb0743ccea16b167;9ef867bd3a25b7343454f18faece0179	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/004/ERR1334744/ERR1334744_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/004/ERR1334744/ERR1334744_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334744/18596_1#1.cram
ERP109205	SAMEA3531084	ERS838233	ERR1334745	ERA587837	85f615bc0598404b0da389bcd26af18a;d4fcb005f1e906221bde0557cb87db6c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/005/ERR1334745/ERR1334745_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/005/ERR1334745/ERR1334745_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334745/18596_1#2.cram
ERP109205	SAMEA3531085	ERS838234	ERR1334746	ERA587837	3cbc9f46edef81ee14381a8542153ef3;8760fc734df31d871ce2665ad0a5dc83	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/006/ERR1334746/ERR1334746_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/006/ERR1334746/ERR1334746_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334746/18596_1#3.cram
ERP109205	SAMEA3531086	ERS838235	ERR1334747	ERA587837	a7a96c44d3a95907ea5ccd8d752a6563;3223862d390a5a2780448bae9871c89d	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/007/ERR1334747/ERR1334747_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/007/ERR1334747/ERR1334747_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334747/18596_1#4.cram
ERP109205	SAMEA3531087	ERS838236	ERR1334748	ERA587837	9ef91ffc741611b0934d75ae4d2e88ef;aef0cd0b4f2e8cde5e5d7d1edecd188e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/008/ERR1334748/ERR1334748_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/008/ERR1334748/ERR1334748_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334748/18596_1#5.cram
ERP109205	SAMEA3531088	ERS838237	ERR1334749	ERA587837	ae0c38adbd65c9e5db790dc052b38c59;99c0b9642b7c291b4e451b52ba7293e8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/009/ERR1334749/ERR1334749_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/009/ERR1334749/ERR1334749_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334749/18596_1#6.cram
ERP109205	SAMEA3531089	ERS838238	ERR1334750	ERA587837	7aba5be18a5db7c470fbda65340bd403;c764e90ff675bd8d259d564b5e4f5263	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/000/ERR1334750/ERR1334750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/000/ERR1334750/ERR1334750_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334750/18596_1#7.cram
ERP109205	SAMEA3531090	ERS838239	ERR1334751	ERA587837	a3461d802089bbda0052727cf4974fa8;2419f0a792c8e0c0f80b7023ce617db7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR1334751/ERR1334751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/001/ERR1334751/ERR1334751_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334751/18596_1#8.cram
ERP109205	SAMEA3531091	ERS838240	ERR1334752	ERA587837	1870ee004fe2a2e9faaa5072138174fd;917d15e8bb3fcc2198f0512f6134b02b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/002/ERR1334752/ERR1334752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/002/ERR1334752/ERR1334752_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334752/18596_1#9.cram
ERP109205	SAMEA3531092	ERS838241	ERR1334753	ERA587837	b0d522d114dceef705e96e8bbed2a4e1;a248f7cbba4b31f73ad494e6548c1196	ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/003/ERR1334753/ERR1334753_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR133/003/ERR1334753/ERR1334753_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR133/ERR1334753/18596_1#10.cram
