EpitopeID	EpitopeCount
HIVgenome	211458

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
chrX:84663001-84664001	HIVgenome	N/A	13	8.087942663198543e-22
chr2:133031001-133032001	HIVgenome	N/A	11	6.760370164126622e-18
chr12:125403001-125404001	HIVgenome	N/A	9	4.0399849541831106e-14
chr2:91788001-91789001	HIVgenome	N/A	8	2.6653400989476838e-12
chr3:15430001-15431001	HIVgenome	N/A	7	1.563785558229829e-10
chr15:63789001-63790001	HIVgenome	N/A	7	1.563785558229829e-10
chr12:77024001-77025001	HIVgenome	N/A	7	1.563785558229829e-10
chr17:33538001-33539001	HIVgenome	N/A	7	1.563785558229829e-10
chr6:2905001-2906001	HIVgenome	N/A	6	8.03251506502593e-09
chr13:24537001-24538001	HIVgenome	N/A	6	8.03251506502593e-09
CEBPZOS-Promoter|chr2:37422604-37423604	HIVgenome	N/A	6	8.03251506502593e-09
chr11:60737001-60738001	HIVgenome	N/A	6	8.03251506502593e-09
chr1:3725001-3726001	HIVgenome	N/A	6	8.03251506502593e-09
HACD4-Promoter|chr9:21031674-21032674	HIVgenome	N/A	6	8.03251506502593e-09
chr15:63461001-63462001	HIVgenome	N/A	6	8.03251506502593e-09
chr19:18157001-18158001	HIVgenome	N/A	6	8.03251506502593e-09
chr10:121641001-121642001	HIVgenome	N/A	6	8.03251506502593e-09
chrY:59008001-59009001	HIVgenome	N/A	6	8.03251506502593e-09
chr19:41684001-41685001	HIVgenome	N/A	6	8.03251506502593e-09
chr2:128167001-128168001	HIVgenome	N/A	6	8.03251506502593e-09
chr9:36469001-36470001	HIVgenome	N/A	6	8.03251506502593e-09
chr21:45760286-45761001	HIVgenome	N/A	5	6.831553518963793e-08
chr12:12763001-12763766	HIVgenome	N/A	5	9.52423986391641e-08
chr6:74133001-74133855	HIVgenome	N/A	5	1.6346464154048054e-07
chr19:43963001-43963945	HIVgenome	N/A	5	2.670285999361699e-07
chr12:133756001-133756994	HIVgenome	N/A	5	3.4200235065095786e-07
