==> results/hg19/50M/R500/YY1/ID/Simulation_1000_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	12
3xFLAG	3

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	C-term	4	9.659520858394023e-16
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	N-term	2	7.612462607256593e-08
chr12:39893001-39894001	RANDOM_SEQ_500	N/A	1	9.690833397022897e-06
AASS|chr7:121713598-121784344	RANDOM_SEQ_500	N-term	1	0.0006853560576568197
SYNRG|chr17:35874900-35969486	3xFLAG	C-term	1	0.0009162016398471774

==> results/hg19/50M/R500/YY1/ID/Simulation_100_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	21
3xFLAG	1

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	N-term	5	5.115612914007007e-19
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	C-term	4	4.468915892116574e-15
chr5:145960001-145961001	3xFLAG	N/A	1	1.4213190176647914e-05
chr8:115439001-115440001	RANDOM_SEQ_500	N/A	1	1.4213190176647914e-05
PCDH15|chr10:55562531-56561051	RANDOM_SEQ_500	N-term	1	0.014092020204409077

==> results/hg19/50M/R500/YY1/ID/Simulation_101_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	21
3xFLAG	2
LAP-tag	1

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	N-term	7	7.336293712535757e-27
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	C-term	5	7.903471328906939e-19
chr19:23031001-23032001	LAP-tag	N/A	1	1.5505288357234173e-05
SYNRG|chr17:35874900-35969486	3xFLAG	C-term	1	0.0014655196503048178
PCDH15|chr10:55562531-56561051	RANDOM_SEQ_500	C-term	1	0.015363223422809293

==> results/hg19/50M/R500/YY1/ID/Simulation_102_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	12
3xFLAG	3

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	C-term	7	2.733622369125755e-28
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	N-term	3	9.902054801802722e-12
chr17:60993001-60994001	RANDOM_SEQ_500	N/A	1	9.690833397022897e-06
chr5:145960001-145961001	3xFLAG	N/A	1	9.690833397022897e-06
chr22:39962001-39963001	3xFLAG	N/A	1	9.690833397022897e-06
chr12:39893001-39894001	RANDOM_SEQ_500	N/A	1	9.690833397022897e-06

==> results/hg19/50M/R500/YY1/ID/Simulation_103_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	14
LAP-tag	2

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	C-term	3	1.2017123075989421e-11
chr12:39892001-39893001	RANDOM_SEQ_500	N/A	1	1.033688561769177e-05
HHIPL1-Promoter|chr14:100069834-100070834	LAP-tag	N/A	1	1.033688561769177e-05
chr3:116349001-116350001	RANDOM_SEQ_500	N/A	1	1.033688561769177e-05
chr19:23031001-23032001	LAP-tag	N/A	1	1.033688561769177e-05
PCDH15|chr10:55562531-56561051	RANDOM_SEQ_500	N-term	2	5.290300186612143e-05
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	N-term	1	0.00041617157492373927
CCDC85C|chr14:99977603-100070727	LAP-tag	N-term	1	0.0009621539442766858

==> results/hg19/50M/R500/YY1/ID/Simulation_104_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	18
3xFLAG	1

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	C-term	4	2.4863356526416334e-15
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	N-term	4	2.4863356526416334e-15
chr5:145960001-145961001	3xFLAG	N/A	1	1.227503977540735e-05

==> results/hg19/50M/R500/YY1/ID/Simulation_105_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	17
3xFLAG	3

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	C-term	5	3.1765584180842754e-19
chr5:145960001-145961001	3xFLAG	N/A	3	3.59541513988663e-16
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	N-term	4	3.0524885089993204e-15
chr17:60993001-60994001	RANDOM_SEQ_500	N/A	1	1.2921090326551608e-05
chr3:116349001-116350001	RANDOM_SEQ_500	N/A	1	1.2921090326551608e-05

==> results/hg19/50M/R500/YY1/ID/Simulation_106_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	15
3xFLAG	2
LAP-tag	1

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	N-term	3	1.7109687200056975e-11
chr22:39962001-39963001	3xFLAG	N/A	2	6.761691237897428e-11
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	C-term	2	1.0961375817919891e-07
HHIPL1-Promoter|chr14:100069834-100070834	LAP-tag	N/A	1	1.1628988806827685e-05
CCDC85C|chr14:99977603-100070727	LAP-tag	C-term	1	0.0010823580779279584

==> results/hg19/50M/R500/YY1/ID/Simulation_107_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	18
3xFLAG	2

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	C-term	4	3.0524885089993204e-15
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	N-term	2	1.353209334582431e-07
chr3:116350001-116351001	RANDOM_SEQ_500	N/A	1	1.2921090326551608e-05
chr3:116349001-116350001	RANDOM_SEQ_500	N/A	1	1.2921090326551608e-05
chr17:60993001-60994001	RANDOM_SEQ_500	N/A	1	1.2921090326551608e-05
PLSCR4|chr3:145910122-145968966	3xFLAG	C-term	1	0.0007600445710446112
AASS|chr7:121713598-121784344	RANDOM_SEQ_500	N-term	1	0.0009137036803237426
SYNRG|chr17:35874900-35969486	3xFLAG	C-term	1	0.0012214156094813124

==> results/hg19/50M/R500/YY1/ID/Simulation_108_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	22
3xFLAG	5

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	C-term	8	1.4690178267578732e-30
chr5:145960001-145961001	3xFLAG	N/A	2	1.5213755682522688e-10
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	N-term	2	2.4659246254571476e-07
chr3:116349001-116350001	RANDOM_SEQ_500	N/A	1	1.7443432497657583e-05
chr22:39962001-39963001	3xFLAG	N/A	1	1.7443432497657583e-05
chr8:115439001-115440001	RANDOM_SEQ_500	N/A	1	1.7443432497657583e-05
PLSCR4|chr3:145910122-145968966	3xFLAG	C-term	1	0.0010259236744231842
SYNRG|chr17:35874900-35969486	3xFLAG	N-term	1	0.001648558528478537

==> results/hg19/50M/R500/YY1/ID/Simulation_109_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	20

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	N-term	8	1.331790794734538e-31
chr3:116350001-116351001	RANDOM_SEQ_500	N/A	1	1.2921090326551608e-05
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	C-term	1	0.0005201874035290824

==> results/hg19/50M/R500/YY1/ID/Simulation_10_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	21
3xFLAG	3

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	C-term	4	6.32898151537942e-15
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	N-term	3	4.0551557429481e-11
chr5:145960001-145961001	3xFLAG	N/A	2	1.2020764965163662e-10
chr20:58017001-58018001	RANDOM_SEQ_500	N/A	1	1.5505288357234173e-05
AASS|chr7:121713598-121784344	RANDOM_SEQ_500	C-term	1	0.0010963442094387296

==> results/hg19/50M/R500/YY1/ID/Simulation_110_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	20
3xFLAG	2
LAP-tag	2

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	N-term	3	4.0551557429481e-11
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	C-term	2	1.9484862654615498e-07
chr20:58017001-58018001	RANDOM_SEQ_500	N/A	1	1.5505288357234173e-05
chr3:116350001-116351001	RANDOM_SEQ_500	N/A	1	1.5505288357234173e-05
HHIPL1-Promoter|chr14:100069834-100070834	LAP-tag	N/A	1	1.5505288357234173e-05
CCDC85C|chr14:99977603-100070727	LAP-tag	C-term	1	0.0014428837081462633
MAGI2|chr7:77646374-79082890	RANDOM_SEQ_500	N-term	1	0.02202753866779414

==> results/hg19/50M/R500/YY1/ID/Simulation_111_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	15
3xFLAG	2
LAP-tag	1

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	N-term	2	1.0961375817919891e-07
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	C-term	2	1.0961375817919891e-07
HHIPL1-Promoter|chr14:100069834-100070834	LAP-tag	N/A	1	1.1628988806827685e-05
CCDC85C|chr14:99977603-100070727	LAP-tag	N-term	1	0.0010823580779279584
SYNRG|chr17:35874900-35969486	3xFLAG	N-term	1	0.0010993412121424275
PCDH15|chr10:55562531-56561051	RANDOM_SEQ_500	N-term	1	0.01154468813488307

==> results/hg19/50M/R500/YY1/ID/Simulation_112_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	17

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	N-term	5	1.4095658556543841e-19
chr3:116349001-116350001	RANDOM_SEQ_500	N/A	1	1.098293742092275e-05
AASS|chr7:121713598-121784344	RANDOM_SEQ_500	C-term	1	0.000776701368894524

==> results/hg19/50M/R500/YY1/ID/Simulation_113_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	9

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
chr17:60993001-60994001	RANDOM_SEQ_500	N/A	1	5.814511307657036e-06
chr3:116349001-116350001	RANDOM_SEQ_500	N/A	1	5.814511307657036e-06
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	N-term	1	0.00023411782671408783

==> results/hg19/50M/R500/YY1/ID/Simulation_114_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	19
3xFLAG	4

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	C-term	2	1.789526234266415e-07
chr22:39963001-39964001	3xFLAG	N/A	1	1.4859239475601658e-05
chr22:39962001-39963001	3xFLAG	N/A	1	1.4859239475601658e-05
chr8:115439001-115440001	RANDOM_SEQ_500	N/A	1	1.4859239475601658e-05
chr3:116349001-116350001	RANDOM_SEQ_500	N/A	1	1.4859239475601658e-05
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	N-term	1	0.0005981921718047763
AASS|chr7:121713598-121784344	RANDOM_SEQ_500	C-term	1	0.0010506872075299579
PCDH15|chr10:55562531-56561051	RANDOM_SEQ_500	N-term	1	0.014727826827703072

==> results/hg19/50M/R500/YY1/ID/Simulation_115_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	17
3xFLAG	3

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	N-term	4	3.0524885089993204e-15
chr8:115439001-115440001	RANDOM_SEQ_500	N/A	2	8.347762067891353e-11
chr5:145960001-145961001	3xFLAG	N/A	1	1.2921090326551608e-05
chr3:116350001-116351001	RANDOM_SEQ_500	N/A	1	1.2921090326551608e-05
YY1|chr14:100705102-100745371	RANDOM_SEQ_500	C-term	1	0.0005201874035290824
