==> results/sacCer3/10M/R500/Lge1/ID/Simulation_1000_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	742
Extended-Tap	314

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
LGE1-Promoter|chr16:454990-455240		N/A	153	0.0
LGE1|chr16:453992-454990		C-term	95	4.121551508697093e-221
LGE1|chr16:453992-454990		N-term	89	9.495134993069765e-205
chr16:455251-455501		N/A	17	1.873843442153524e-38
chr16:455241-455251		N/A	3	8.7271846903989e-10

==> results/sacCer3/10M/R500/Lge1/ID/Simulation_100_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	839
Extended-Tap	314

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
LGE1-Promoter|chr16:454990-455240		N/A	165	0.0
LGE1|chr16:453992-454990		C-term	98	1.273697164926446e-225
LGE1|chr16:453992-454990		N-term	94	8.598449088879414e-215
chr16:455251-455501		N/A	15	1.0056409361204667e-32
chr16:455241-455251		N/A	4	5.385928675376631e-13

==> results/sacCer3/10M/R500/Lge1/ID/Simulation_101_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	825
Extended-Tap	329

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
LGE1-Promoter|chr16:454990-455240		N/A	186	0.0
LGE1|chr16:453992-454990		C-term	93	4.6273424277772556e-212
LGE1|chr16:453992-454990		N-term	93	4.6273424277772556e-212
chr16:455241-455251		N/A	8	4.177342382917734e-27
chr16:455251-455501		N/A	8	6.090208683082629e-16

==> results/sacCer3/10M/R500/Lge1/ID/Simulation_102_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	810
Extended-Tap	296

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
LGE1-Promoter|chr16:454990-455240		N/A	159	0.0
LGE1|chr16:453992-454990		N-term	89	5.781672899774133e-203
LGE1|chr16:453992-454990		C-term	78	1.1906817453664931e-173
chr16:455241-455251		N/A	6	5.0304522296440275e-20
chr16:455251-455501		N/A	8	4.343942656718381e-16

==> results/sacCer3/10M/R500/Lge1/ID/Simulation_103_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	790
Extended-Tap	333

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
LGE1-Promoter|chr16:454990-455240		N/A	153	0.0
LGE1|chr16:453992-454990		N-term	113	3.9503225510849696e-268
LGE1|chr16:453992-454990		C-term	99	1.79979995111451e-229
chr16:455251-455501		N/A	10	1.1624496324016388e-20
chr16:455241-455251		N/A	4	4.847342760047194e-13

==> results/sacCer3/10M/R500/Lge1/ID/Simulation_104_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	835
Extended-Tap	306

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
LGE1-Promoter|chr16:454990-455240		N/A	155	0.0
LGE1|chr16:453992-454990		N-term	96	1.2399627892617797e-220
LGE1|chr16:453992-454990		C-term	87	2.0531211533808794e-196
chr16:455251-455501		N/A	6	1.4248206089384933e-11
