==> results/sacCer3/10M/R100/Sua7/ID/Simulation_1000_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	277
RANDOM_SEQ_100	185

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
SRP54-Cterm|chr16:711153-711403	RANDOM_SEQ_100	N/A	88	1.8040313043755293e-286
SUA7-Cterm|chr16:711138-711388	RANDOM_SEQ_100	N/A	85	1.7314063609814603e-275
SUA7|chr16:710101-711138	RANDOM_SEQ_100	C-term	50	2.0593173746932966e-120
SUA7|chr16:710101-711138	RANDOM_SEQ_100	N-term	34	9.565432102663992e-77
SRP54|chr16:711403-713028	RANDOM_SEQ_100	C-term	9	1.650955230653825e-14
SRP54|chr16:711403-713028	RANDOM_SEQ_100	N-term	3	0.0002863058256470307

==> results/sacCer3/10M/R100/Sua7/ID/Simulation_100_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	343
RANDOM_SEQ_100	185

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
SRP54-Cterm|chr16:711153-711403	RANDOM_SEQ_100	N/A	79	4.4061394013456444e-249
SUA7-Cterm|chr16:711138-711388	RANDOM_SEQ_100	N/A	75	7.144785712826984e-235
SUA7|chr16:710101-711138	RANDOM_SEQ_100	N-term	46	1.3567061931090972e-106
SUA7|chr16:710101-711138	RANDOM_SEQ_100	C-term	39	7.606465067380293e-88
SRP54|chr16:711403-713028	RANDOM_SEQ_100	N-term	12	1.1339838773190056e-19
SRP54|chr16:711403-713028	RANDOM_SEQ_100	C-term	6	9.734479466730626e-09

==> results/sacCer3/10M/R100/Sua7/ID/Simulation_101_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	341
RANDOM_SEQ_100	153

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
SRP54-Cterm|chr16:711153-711403	RANDOM_SEQ_100	N/A	58	2.994182507031258e-177
SUA7-Cterm|chr16:711138-711388	RANDOM_SEQ_100	N/A	55	6.609502759727731e-167
SUA7|chr16:710101-711138	RANDOM_SEQ_100	N-term	53	2.482380005911297e-127
SUA7|chr16:710101-711138	RANDOM_SEQ_100	C-term	31	5.562231051011262e-68
SRP54|chr16:711403-713028	RANDOM_SEQ_100	C-term	9	2.994966873842342e-14
SRP54|chr16:711403-713028	RANDOM_SEQ_100	N-term	2	0.007989246962185774

==> results/sacCer3/10M/R100/Sua7/ID/Simulation_102_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	317
RANDOM_SEQ_100	174

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
SRP54-Cterm|chr16:711153-711403	RANDOM_SEQ_100	N/A	60	2.422895900421304e-184
SUA7-Cterm|chr16:711138-711388	RANDOM_SEQ_100	N/A	58	2.103271609119692e-177
SUA7|chr16:710101-711138	RANDOM_SEQ_100	N-term	51	7.063832395190395e-122
SUA7|chr16:710101-711138	RANDOM_SEQ_100	C-term	49	2.567204193810996e-116
SRP54|chr16:711403-713028	RANDOM_SEQ_100	C-term	11	4.378446302740414e-18
SRP54|chr16:711403-713028	RANDOM_SEQ_100	N-term	3	0.00034169591235980434

