==> results/sacCer3/10M/R100/Reb1/ID/Simulation_1000_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	302
RANDOM_SEQ_100	156

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
REB1-Cterm|chr2:334136-334386	RANDOM_SEQ_100	N/A	62	3.501486455182516e-193
REB1|chr2:334386-336818	RANDOM_SEQ_100	C-term	48	2.830711390598548e-97
REB1|chr2:334386-336818	RANDOM_SEQ_100	N-term	29	3.996841308216985e-53
chr2:334063-334135	RANDOM_SEQ_100	N/A	13	5.63034591892682e-40
RPS11B-Cterm|chr2:333812-334062	RANDOM_SEQ_100	N/A	4	5.167345764257404e-09

==> results/sacCer3/10M/R100/Reb1/ID/Simulation_100_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	352
RANDOM_SEQ_100	158

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
REB1-Cterm|chr2:334136-334386	RANDOM_SEQ_100	N/A	56	1.4281784659189645e-169
REB1|chr2:334386-336818	RANDOM_SEQ_100	N-term	46	2.621546530947116e-90
REB1|chr2:334386-336818	RANDOM_SEQ_100	C-term	38	9.177791688706139e-72
chr2:334063-334135	RANDOM_SEQ_100	N/A	15	3.9574402071821275e-46
RPS11B-Cterm|chr2:333812-334062	RANDOM_SEQ_100	N/A	3	1.5140849867226536e-06

==> results/sacCer3/10M/R100/Reb1/ID/Simulation_101_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	304
RANDOM_SEQ_100	159

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
REB1-Cterm|chr2:334136-334386	RANDOM_SEQ_100	N/A	73	5.768085458201094e-232
REB1|chr2:334386-336818	RANDOM_SEQ_100	N-term	42	1.0402450468955408e-82
REB1|chr2:334386-336818	RANDOM_SEQ_100	C-term	28	8.555622129941862e-51
chr2:334063-334135	RANDOM_SEQ_100	N/A	13	6.483522558408915e-40
RPS11B-Cterm|chr2:333812-334062	RANDOM_SEQ_100	N/A	3	1.1345187918444158e-06

==> results/sacCer3/10M/R100/Reb1/ID/Simulation_102_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	356
RANDOM_SEQ_100	157

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
REB1-Cterm|chr2:334136-334386	RANDOM_SEQ_100	N/A	59	9.549666924469241e-180
REB1|chr2:334386-336818	RANDOM_SEQ_100	N-term	45	7.685711101811487e-88
REB1|chr2:334386-336818	RANDOM_SEQ_100	C-term	36	3.823260540183151e-67
chr2:334063-334135	RANDOM_SEQ_100	N/A	17	5.865934908498417e-53

==> results/sacCer3/10M/R100/Reb1/ID/Simulation_103_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	337
RANDOM_SEQ_100	157

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
REB1-Cterm|chr2:334136-334386	RANDOM_SEQ_100	N/A	69	1.0015612229757755e-215
REB1|chr2:334386-336818	RANDOM_SEQ_100	C-term	36	9.901029073181689e-68
chr2:334063-334135	RANDOM_SEQ_100	N/A	19	3.0923621180889286e-60
REB1|chr2:334386-336818	RANDOM_SEQ_100	N-term	32	9.172386527913526e-59
RPS11B-Cterm|chr2:333812-334062	RANDOM_SEQ_100	N/A	1	0.020112330712607682

==> results/sacCer3/10M/R100/Reb1/ID/Simulation_104_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	322
RANDOM_SEQ_100	171

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
REB1-Cterm|chr2:334136-334386	RANDOM_SEQ_100	N/A	71	7.204277634569785e-223
REB1|chr2:334386-336818	RANDOM_SEQ_100	C-term	50	1.5197696044838372e-100
REB1|chr2:334386-336818	RANDOM_SEQ_100	N-term	39	1.2887066023714397e-74
chr2:334063-334135	RANDOM_SEQ_100	N/A	10	1.2632616745063045e-29
RPS11B-Cterm|chr2:333812-334062	RANDOM_SEQ_100	N/A	1	0.020072028855377753

==> results/sacCer3/10M/R100/Reb1/ID/Simulation_105_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	308
RANDOM_SEQ_100	167

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
REB1-Cterm|chr2:334136-334386	RANDOM_SEQ_100	N/A	70	1.8683226110373118e-220
REB1|chr2:334386-336818	RANDOM_SEQ_100	C-term	46	1.0099900224173557e-91
REB1|chr2:334386-336818	RANDOM_SEQ_100	N-term	40	1.4457714981894457e-77
chr2:334063-334135	RANDOM_SEQ_100	N/A	11	4.45539351296347e-33

==> results/sacCer3/10M/R100/Reb1/ID/Simulation_106_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	346
RANDOM_SEQ_100	178

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
REB1-Cterm|chr2:334136-334386	RANDOM_SEQ_100	N/A	77	3.2062761055618987e-242
REB1|chr2:334386-336818	RANDOM_SEQ_100	N-term	43	8.955194201141811e-83
REB1|chr2:334386-336818	RANDOM_SEQ_100	C-term	41	3.679623494561688e-78
chr2:334063-334135	RANDOM_SEQ_100	N/A	17	8.412349842391477e-53

==> results/sacCer3/10M/R100/Reb1/ID/Simulation_107_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	375
RANDOM_SEQ_100	177

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
REB1-Cterm|chr2:334136-334386	RANDOM_SEQ_100	N/A	77	1.7631963443364645e-240
REB1|chr2:334386-336818	RANDOM_SEQ_100	N-term	43	8.305097854924282e-82
