==> results/sacCer3/10M/R50/Gcn5/ID/Simulation_1000_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	342
RANDOM_SEQ_50	80

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
GCN5-Cterm|chr7:998188-998438		N/A	30	5.654196436858427e-86
PUP2-Cterm|chr7:998108-998358		N/A	20	2.485326636923671e-54
GCN5|chr7:996869-998188		N-term	22	1.1698235153578899e-44
GCN5|chr7:996869-998188		C-term	18	2.920906272613841e-35
PUP2|chr7:998358-999140		N-term	14	2.0993279722088403e-29
PUP2|chr7:998358-999140		C-term	11	2.865337809418798e-22

==> results/sacCer3/10M/R50/Gcn5/ID/Simulation_100_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	338
RANDOM_SEQ_50	52

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
GCN5-Cterm|chr7:998188-998438		N/A	17	8.520026442585828e-46
GCN5|chr7:996869-998188		C-term	14	1.0185158983997906e-26
GCN5|chr7:996869-998188		N-term	14	1.0185158983997906e-26
PUP2|chr7:998358-999140		C-term	9	5.2806544144126715e-18
PUP2-Cterm|chr7:998108-998358		N/A	7	5.3337724588174965e-17
PUP2|chr7:998358-999140		N-term	8	9.472379035716304e-16

==> results/sacCer3/10M/R50/Gcn5/ID/Simulation_101_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	339
RANDOM_SEQ_50	65

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
GCN5-Cterm|chr7:998188-998438		N/A	20	1.040119573092537e-54
GCN5|chr7:996869-998188		N-term	20	2.7059685948661856e-40
PUP2-Cterm|chr7:998108-998358		N/A	13	1.1621954134841177e-33
GCN5|chr7:996869-998188		C-term	15	9.723392441799355e-29
PUP2|chr7:998358-999140		C-term	11	1.7780320064824125e-22
PUP2|chr7:998358-999140		N-term	7	1.9420154277081223e-13

==> results/sacCer3/10M/R50/Gcn5/ID/Simulation_102_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	340
RANDOM_SEQ_50	74

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
GCN5-Cterm|chr7:998188-998438		N/A	27	1.5718360390014773e-76
GCN5|chr7:996869-998188		N-term	25	4.040765496832122e-52
PUP2|chr7:998358-999140		C-term	19	4.937488180195009e-42
PUP2-Cterm|chr7:998108-998358		N/A	15	2.2039832448178678e-39
GCN5|chr7:996869-998188		C-term	13	3.643253861110984e-24
PUP2|chr7:998358-999140		N-term	6	3.0289514770063904e-11

==> results/sacCer3/10M/R50/Gcn5/ID/Simulation_103_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	349
RANDOM_SEQ_50	74

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
GCN5-Cterm|chr7:998188-998438		N/A	36	1.2000426275690214e-105
PUP2-Cterm|chr7:998108-998358		N/A	22	1.7070347947172666e-60
PUP2|chr7:998358-999140		C-term	13	5.5820836203047525e-27
GCN5|chr7:996869-998188		C-term	14	3.152960883130992e-26
GCN5|chr7:996869-998188		N-term	14	3.152960883130992e-26
PUP2|chr7:998358-999140		N-term	11	2.9405396482298993e-22

==> results/sacCer3/10M/R50/Gcn5/ID/Simulation_104_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	326
RANDOM_SEQ_50	76

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
GCN5-Cterm|chr7:998188-998438		N/A	25	1.8252448796054297e-70
GCN5|chr7:996869-998188		C-term	20	2.451348109493924e-40
PUP2|chr7:998358-999140		C-term	17	3.615978944545408e-37
PUP2-Cterm|chr7:998108-998358		N/A	14	1.2868670424124766e-36
GCN5|chr7:996869-998188		N-term	18	1.2241855025229565e-35
PUP2|chr7:998358-999140		N-term	10	3.581813230822433e-20

==> results/sacCer3/10M/R50/Gcn5/ID/Simulation_105_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	336
RANDOM_SEQ_50	55

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
GCN5-Cterm|chr7:998188-998438		N/A	19	6.728786043897734e-52
PUP2-Cterm|chr7:998108-998358		N/A	14	8.730518121138976e-37
GCN5|chr7:996869-998188		C-term	15	5.969992710850444e-29
GCN5|chr7:996869-998188		N-term	14	1.0554646175856244e-26
PUP2|chr7:998358-999140		N-term	8	9.66719322730292e-16
PUP2|chr7:998358-999140		C-term	6	2.155023106354761e-11

==> results/sacCer3/10M/R50/Gcn5/ID/Simulation_106_R1-ID.tab <==
EpitopeID	EpitopeCount
Extended-Tap	319
RANDOM_SEQ_50	70

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
GCN5-Cterm|chr7:998188-998438		N/A	26	4.940354777282038e-74
PUP2-Cterm|chr7:998108-998358		N/A	19	6.104589669086367e-52
GCN5|chr7:996869-998188		C-term	22	1.9644796292264037e-45
PUP2|chr7:998358-999140		C-term	13	1.8863227943638597e-27
GCN5|chr7:996869-998188		N-term	12	2.5103536606369994e-22
