EpitopeID	EpitopeCount
HIVgenome	247001
3xFLAG	2

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
chr2:133031001-133032001	HIVgenome	N/A	9	1.6020596850497175e-13
chr19:18414001-18415001	HIVgenome	N/A	8	9.051582660490871e-12
chr16:70198001-70199001	HIVgenome	N/A	8	9.051582660490871e-12
chrY:59008001-59009001	HIVgenome	N/A	7	4.5479484825874705e-10
chr15:63776001-63777001	HIVgenome	N/A	7	4.5479484825874705e-10
chr1:161152001-161153001	HIVgenome	N/A	7	4.5479484825874705e-10
chr1:53169001-53170001	HIVgenome	N/A	7	4.5479484825874705e-10
chr16:26602001-26603001	HIVgenome	N/A	7	4.5479484825874705e-10
chr16:15684001-15685001	HIVgenome	N/A	7	4.5479484825874705e-10
chrY:10026001-10027001	HIVgenome	N/A	7	4.5479484825874705e-10
chr5:172038001-172039001	HIVgenome	N/A	7	4.5479484825874705e-10
chr9:130769001-130770001	HIVgenome	N/A	7	4.5479484825874705e-10
chr4:41915001-41916001	HIVgenome	N/A	6	2.000758208141586e-08
chr10:103510001-103511001	HIVgenome	N/A	6	2.000758208141586e-08
chr19:13272001-13273001	HIVgenome	N/A	6	2.000758208141586e-08
chr2:75053001-75054001	HIVgenome	N/A	6	2.000758208141586e-08
chr14:64266001-64267001	HIVgenome	N/A	6	2.000758208141586e-08
chr3:196329001-196330001	HIVgenome	N/A	6	2.000758208141586e-08
POLR2B-Promoter|chr4:57843806-57844806	HIVgenome	N/A	6	2.000758208141586e-08
RNF114-Promoter|chr20:48551914-48552914	HIVgenome	N/A	6	2.000758208141586e-08
NOA1-Promoter|chr4:57843826-57844826	HIVgenome	N/A	6	2.000758208141586e-08
C9orf69-Cterm|chr9:139005427-139006427	HIVgenome	N/A	6	2.000758208141586e-08
chr16:4303001-4304001	HIVgenome	N/A	6	2.000758208141586e-08
chr1:53170001-53171001	HIVgenome	N/A	6	2.000758208141586e-08
DDX39A-Promoter|chr19:14530195-14531195	HIVgenome	N/A	6	2.000758208141586e-08
chr10:70562001-70563001	HIVgenome	N/A	6	2.000758208141586e-08
SPTLC1-Promoter|chr9:94877756-94878756	HIVgenome	N/A	6	2.000758208141586e-08
chr5:130593001-130594001	HIVgenome	N/A	6	2.000758208141586e-08
chr19:4809001-4810001	HIVgenome	N/A	6	2.000758208141586e-08
chr18:43731001-43732001	HIVgenome	N/A	6	2.000758208141586e-08
chr2:233293001-233294001	HIVgenome	N/A	6	2.000758208141586e-08
TMED5-Promoter|chr1:93646246-93647246	HIVgenome	N/A	6	2.000758208141586e-08
chr8:124488001-124489001	HIVgenome	N/A	6	2.000758208141586e-08
chr7:100720001-100721001	HIVgenome	N/A	6	2.000758208141586e-08
chr14:71677001-71678001	HIVgenome	N/A	6	2.000758208141586e-08
chr9:69822001-69823001	HIVgenome	N/A	6	2.000758208141586e-08
chr21:11139001-11140001	HIVgenome	N/A	6	2.000758208141586e-08
chr1:154366001-154367001	HIVgenome	N/A	6	2.000758208141586e-08
chr3:171200001-171201001	HIVgenome	N/A	6	2.000758208141586e-08
chr1:8887001-8888001	HIVgenome	N/A	6	2.000758208141586e-08
chr17:36401001-36402001	HIVgenome	N/A	5	7.551741071618472e-07
PFAS-Promoter|chr17:8151596-8152596	HIVgenome	N/A	5	7.551741071618472e-07
chr2:232467001-232468001	HIVgenome	N/A	5	7.551741071618472e-07
chr6:25215001-25216001	HIVgenome	N/A	5	7.551741071618472e-07
RNASE6-Promoter|chr14:21248210-21249210	HIVgenome	N/A	5	7.551741071618472e-07
ZNF91-Promoter|chr19:23578362-23579362	HIVgenome	N/A	5	7.551741071618472e-07
chr8:8774001-8775001	HIVgenome	N/A	5	7.551741071618472e-07
chr22:37935001-37936001	HIVgenome	N/A	5	7.551741071618472e-07
chr14:34981001-34982001	HIVgenome	N/A	5	7.551741071618472e-07
IFIT3-Promoter|chr10:91086576-91087576	HIVgenome	N/A	5	7.551741071618472e-07
chr4:84176001-84177001	HIVgenome	N/A	5	7.551741071618472e-07
chr4:48965001-48966001	HIVgenome	N/A	5	7.551741071618472e-07
chr7:99154001-99155001	HIVgenome	N/A	5	7.551741071618472e-07
chr2:91788001-91789001	HIVgenome	N/A	5	7.551741071618472e-07
TNFSF12-TNFSF13-Promoter|chr17:7451375-7452375	HIVgenome	N/A	5	7.551741071618472e-07
chr6:27610001-27611001	HIVgenome	N/A	5	7.551741071618472e-07
CTC1-Promoter|chr17:8151413-8152413	HIVgenome	N/A	5	7.551741071618472e-07
chr7:91822001-91823001	HIVgenome	N/A	5	7.551741071618472e-07
chr4:38178001-38179001	HIVgenome	N/A	5	7.551741071618472e-07
chr17:19367001-19368001	HIVgenome	N/A	5	7.551741071618472e-07
chr19:46768001-46769001	HIVgenome	N/A	5	7.551741071618472e-07
chr10:57492001-57493001	HIVgenome	N/A	5	7.551741071618472e-07
chr12:125121001-125122001	HIVgenome	N/A	5	7.551741071618472e-07
chr2:219275001-219276001	HIVgenome	N/A	5	7.551741071618472e-07
chr12:31790001-31791001	HIVgenome	N/A	5	7.551741071618472e-07
chr13:40666001-40667001	HIVgenome	N/A	5	7.551741071618472e-07
chr1:207055001-207056001	HIVgenome	N/A	5	7.551741071618472e-07
chr1:16834001-16835001	HIVgenome	N/A	5	7.551741071618472e-07
chr19:45986001-45987001	HIVgenome	N/A	5	7.551741071618472e-07
chr1:45959001-45960001	HIVgenome	N/A	5	7.551741071618472e-07
chr19:18145001-18146001	HIVgenome	N/A	5	7.551741071618472e-07
chr2:27398001-27399001	HIVgenome	N/A	5	7.551741071618472e-07
chr8:119701001-119702001	HIVgenome	N/A	5	7.551741071618472e-07
chr16:25053001-25054001	HIVgenome	N/A	5	7.551741071618472e-07
chr16:22692001-22693001	HIVgenome	N/A	5	7.551741071618472e-07
BCL10-Promoter|chr1:85742587-85743587	HIVgenome	N/A	5	7.551741071618472e-07
PREB-Promoter|chr2:27357543-27358543	HIVgenome	N/A	5	7.551741071618472e-07
chr12:96006001-96007001	HIVgenome	N/A	5	7.551741071618472e-07
chr19:15850001-15851001	HIVgenome	N/A	5	7.551741071618472e-07
chr7:6594001-6595001	HIVgenome	N/A	5	7.551741071618472e-07
chr9:100664001-100665001	HIVgenome	N/A	5	7.551741071618472e-07
chr18:29590001-29591001	HIVgenome	N/A	5	7.551741071618472e-07
chr19:47143001-47144001	HIVgenome	N/A	5	7.551741071618472e-07
chr22:26132001-26133001	HIVgenome	N/A	5	7.551741071618472e-07
chr3:186629001-186630001	HIVgenome	N/A	5	7.551741071618472e-07
chr5:43066001-43067001	HIVgenome	N/A	5	7.551741071618472e-07
chr17:39573001-39574001	HIVgenome	N/A	5	7.551741071618472e-07
chr15:58866001-58867001	HIVgenome	N/A	5	7.551741071618472e-07
chr16:48646001-48647001	HIVgenome	N/A	5	7.551741071618472e-07
RABGGTB-Promoter|chr1:76250879-76251879	HIVgenome	N/A	5	7.551741071618472e-07
chr1:57086001-57087001	HIVgenome	N/A	5	7.551741071618472e-07
ZNF615-Promoter|chr19:52511483-52512483	HIVgenome	N/A	5	7.551741071618472e-07
chr17:38770001-38771001	HIVgenome	N/A	5	7.551741071618472e-07
chr3:5104001-5105001	HIVgenome	N/A	5	7.551741071618472e-07
chr14:24672001-24673001	HIVgenome	N/A	5	7.551741071618472e-07
chr9:135935001-135936001	HIVgenome	N/A	5	7.551741071618472e-07
chr19:6863001-6864001	HIVgenome	N/A	5	7.551741071618472e-07
chr5:53643001-53644001	HIVgenome	N/A	5	7.551741071618472e-07
chr16:25060001-25061001	HIVgenome	N/A	5	7.551741071618472e-07
chr20:5634001-5635001	HIVgenome	N/A	5	7.551741071618472e-07
LIMS1-Promoter|chr2:109149811-109150811	HIVgenome	N/A	5	7.551741071618472e-07
chr15:75360001-75361001	HIVgenome	N/A	5	7.551741071618472e-07
chr16:70034001-70035001	HIVgenome	N/A	5	7.551741071618472e-07
chr6:37157001-37158001	HIVgenome	N/A	5	7.551741071618472e-07
LAPTM4B-Promoter|chr8:98786809-98787809	HIVgenome	N/A	5	7.551741071618472e-07
chr1:19661001-19662001	HIVgenome	N/A	5	7.551741071618472e-07
chr19:47622001-47623001	HIVgenome	N/A	5	7.551741071618472e-07
CCP110-Promoter|chr16:19534179-19535179	HIVgenome	N/A	5	7.551741071618472e-07
chr11:33185001-33186001	HIVgenome	N/A	5	7.551741071618472e-07
chr6:30501001-30502001	HIVgenome	N/A	5	7.551741071618472e-07
FXR2-Promoter|chr17:7518215-7519215	HIVgenome	N/A	5	7.551741071618472e-07
chr12:122029001-122030001	HIVgenome	N/A	5	7.551741071618472e-07
SLC25A44-Cterm|chr1:156182587-156183587	HIVgenome	N/A	5	7.551741071618472e-07
chr2:91808001-91809001	HIVgenome	N/A	5	7.551741071618472e-07
MORC3-Promoter|chr21:37691487-37692487	HIVgenome	N/A	5	7.551741071618472e-07
chr17:37163001-37164001	HIVgenome	N/A	5	7.551741071618472e-07
chr6:27767001-27768001	HIVgenome	N/A	5	7.551741071618472e-07
chr11:77807001-77808001	HIVgenome	N/A	5	7.551741071618472e-07
chr12:58331001-58332001	HIVgenome	N/A	5	7.551741071618472e-07
COPS6-Promoter|chr7:99685583-99686583	HIVgenome	N/A	5	7.551741071618472e-07
chr15:32208001-32209001	HIVgenome	N/A	5	7.551741071618472e-07
