==> results/sacCer3/1M/R500/Sua7/ID/Simulation_1000_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	76
Extended-Tap	30

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
SRP54-Cterm|chr16:711153-711403		N/A	18	5.032551966660786e-59
SUA7-Cterm|chr16:711138-711388		N/A	18	5.032551966660786e-59
SUA7|chr16:710101-711138		C-term	8	2.7854891680463753e-19
SUA7|chr16:710101-711138		N-term	6	4.7811266424045976e-14

==> results/sacCer3/1M/R500/Sua7/ID/Simulation_100_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	62
Extended-Tap	26

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
SRP54-Cterm|chr16:711153-711403		N/A	11	3.484336130296204e-35
SUA7-Cterm|chr16:711138-711388		N/A	11	3.484336130296204e-35
SUA7|chr16:710101-711138		N-term	10	1.5788088885775103e-25
SUA7|chr16:710101-711138		C-term	7	3.3595281901023583e-17

==> results/sacCer3/1M/R500/Sua7/ID/Simulation_101_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	111
Extended-Tap	45

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
SUA7-Cterm|chr16:711138-711388		N/A	22	5.0846907440263745e-70
SRP54-Cterm|chr16:711153-711403		N/A	22	5.0846907440263745e-70
SUA7|chr16:710101-711138		N-term	11	1.1572339445317256e-25
SUA7|chr16:710101-711138		C-term	10	4.783113279974287e-23
SRP54|chr16:711403-713028		C-term	3	1.1716892749511738e-05

==> results/sacCer3/1M/R500/Sua7/ID/Simulation_102_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	72
Extended-Tap	33

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
SUA7-Cterm|chr16:711138-711388		N/A	16	6.962594351580719e-52
SRP54-Cterm|chr16:711153-711403		N/A	14	8.960331219625002e-45
SUA7|chr16:710101-711138		N-term	10	9.20738477032627e-25
SUA7|chr16:710101-711138		C-term	8	2.5825160837480474e-19
SRP54|chr16:711403-713028		C-term	2	0.0003866672657041425
SRP54|chr16:711403-713028		N-term	1	0.027679703012854738

==> results/sacCer3/1M/R500/Sua7/ID/Simulation_103_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	89
Extended-Tap	37

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
SUA7-Cterm|chr16:711138-711388		N/A	20	7.976868584861345e-65
SRP54-Cterm|chr16:711153-711403		N/A	18	1.128743520777928e-57
SUA7|chr16:710101-711138		N-term	11	1.1100672638182702e-26
SUA7|chr16:710101-711138		C-term	9	2.6426747889236775e-21
SRP54|chr16:711403-713028		C-term	1	0.03312301648216618

==> results/sacCer3/1M/R500/Sua7/ID/Simulation_104_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	94
Extended-Tap	38

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
SUA7-Cterm|chr16:711138-711388		N/A	16	2.706717558382341e-50
SRP54-Cterm|chr16:711153-711403		N/A	16	2.706717558382341e-50
SUA7|chr16:710101-711138		C-term	8	1.6036871408876532e-18
SUA7|chr16:710101-711138		N-term	8	1.6036871408876532e-18
SRP54|chr16:711403-713028		N-term	1	0.03467264431446074
SRP54|chr16:711403-713028		C-term	1	0.03467264431446074

==> results/sacCer3/1M/R500/Sua7/ID/Simulation_105_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	63
Extended-Tap	28

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
SUA7-Cterm|chr16:711138-711388		N/A	11	5.037468934446777e-35
SRP54-Cterm|chr16:711153-711403		N/A	11	5.037468934446777e-35
SUA7|chr16:710101-711138		C-term	11	3.1140227734965504e-28
SUA7|chr16:710101-711138		N-term	6	1.9144548233613104e-14
SRP54|chr16:711403-713028		C-term	3	2.3562068310485645e-06

==> results/sacCer3/1M/R500/Sua7/ID/Simulation_106_R1-ID.tab <==
EpitopeID	EpitopeCount
RANDOM_SEQ_500	78
Extended-Tap	48

GeneID	EpitopeID	EpitopeLocation	EpitopeCount	pVal
SRP54-Cterm|chr16:711153-711403		N/A	13	3.1053035901148547e-40
SUA7-Cterm|chr16:711138-711388		N/A	13	3.1053035901148547e-40
